Geneid,phage__lbmm_t15__2,phage__lbmm_phage_t05__2,phage__lbmm_phage_t10__1,phage__lbmm_phage_t15__1,phage__lbmm_t10__1,phage__lbmm_t05__2,phage__lbmm_phage_t00__1,phage__lbmm_t05__1,phage__lbmm_t00__1,phage__lbmm_t10__2,phage__lbmm_phage_t15__2,phage__lbmm_phage_t00__2,phage__lbmm_phage_t05__1,phage__lbmm_t15__1,phage__lbmm_phage_t10__2,phage__lbmm_t00__2
b1982,178,313,880,576,543,218,133,286,91,236,382,726,563,294,410,338
b1983,5547,8582,9103,7766,4761,4154,3111,2596,3070,4050,13271,7134,5738,4098,8302,2967
b1985,82,114,106,119,97,82,31,77,18,77,146,245,73,72,158,128
b1987,26,41,61,43,32,22,15,29,10,17,42,65,40,26,25,40
b1988,20,39,29,45,30,33,10,59,7,23,33,76,41,24,55,33
b1990,82,144,347,215,153,115,42,89,42,105,136,263,202,123,183,153
b1991,611,1378,2086,1250,1203,715,453,821,451,891,1422,3029,1602,680,1558,1218
b1992,155,297,567,285,266,170,95,191,120,149,241,682,401,141,303,298
b1993,166,411,694,503,292,205,106,209,150,211,419,812,494,165,447,372
b1994,1093,750,1701,1569,1218,723,1117,970,1083,695,1331,2361,1424,1002,809,1958
b4582,9,20,40,25,20,13,10,23,8,11,19,30,51,17,21,18
b1996,155,369,693,330,295,213,137,202,117,209,449,886,426,201,370,438
b1997,50,107,174,101,90,72,34,79,30,78,84,140,101,63,112,105
b1999,2,10,23,3,6,3,8,4,1,1,12,3,10,2,4,19
b2000,327,519,502,488,352,289,216,181,196,311,608,573,346,252,488,313
b2001,45,82,93,76,57,42,32,43,30,53,96,102,79,55,77,67
b2002,4,9,5,9,7,2,0,4,3,5,7,3,2,6,3,3
b2003,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
b2004,0,2,0,0,0,0,1,2,2,1,0,0,0,1,0,0
b2005,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2
b2006,2,4,10,12,5,19,3,6,2,9,5,7,9,4,3,7
b4538,17,31,51,43,19,24,11,19,15,15,27,40,26,28,34,27
b2007,793,2126,3762,2273,2054,1332,777,1153,928,1193,1701,2620,2272,1573,2179,1275
b2008,88,86,188,159,81,73,74,45,43,65,234,183,77,80,119,101
b2009,193,216,727,504,404,134,114,151,90,404,502,540,290,291,663,327
b2010,185,393,399,286,204,227,105,192,114,194,388,450,248,152,258,250
b2011,661,1659,1860,1376,1021,972,388,595,394,748,1500,2225,1238,728,1537,857
b2012,22,73,43,82,18,19,18,27,14,12,77,45,22,23,24,22
b2013,111,116,184,176,67,49,69,71,78,52,224,128,119,77,97,47
b2014,3076,3262,1243,3643,750,1595,4043,682,4432,807,6237,1006,1049,1821,1878,309
b4678,8,0,0,0,2,1,19,2,31,2,0,0,3,5,0,2
b2015,49,102,152,146,73,67,24,45,27,44,100,148,83,59,116,116
b2016,527,1362,1982,1356,1063,797,294,606,286,812,1353,1694,1212,736,1587,978
b4539,305,990,994,744,487,564,222,304,183,419,597,865,749,348,626,499
b2017,214,1241,693,497,366,445,197,261,181,245,899,1133,479,280,993,331
b2018,0,0,0,0,3,2,1,0,1,5,0,0,0,3,0,4
b2019,190,359,1011,759,533,212,86,231,111,225,370,450,501,380,557,183
b2020,222,269,893,729,535,202,66,153,85,231,371,378,374,391,414,147
b2021,164,196,671,574,401,146,61,113,90,189,325,209,220,341,286,113
b2022,223,345,928,705,479,180,105,200,114,240,458,523,364,384,459,227
b2023,169,89,355,335,199,87,46,72,55,108,192,203,107,183,166,95
b2024,173,169,510,470,258,121,61,79,63,133,381,281,160,276,180,122
b2025,503,611,1225,1240,717,279,155,184,161,345,1164,602,426,604,604,202
b2026,228,260,520,592,322,123,68,74,55,157,539,201,174,326,273,97
b2027,10553,10967,11784,11205,5742,6882,6343,4557,7002,4829,22582,13248,9030,5839,10272,5426
b2028,310,318,183,276,90,170,129,87,115,106,711,258,139,144,183,94
b2029,7704,10596,18739,16511,9549,5939,6663,6031,7137,5468,17910,11534,11529,9037,11010,5066
b4571,2129,4286,2627,3228,1201,1610,1035,800,1061,907,6986,3347,1981,1352,3115,917
b2030,1563,1947,2645,2424,1544,1051,1419,1181,1425,970,3120,5233,2198,1303,1854,2463
b2032,3995,6088,4001,4804,2135,3175,1842,1517,2007,2327,10140,4708,3249,2522,5816,1639
b2033,2948,4305,3145,3801,1735,1924,1355,1075,1464,1870,8684,3897,2387,1854,5013,1300
b2034,2949,4066,3217,3945,1606,1857,1552,1191,1559,1726,8649,3588,2630,1891,5142,1217
b2035,5157,6688,5852,6882,2825,2744,2797,1894,3061,3460,13711,8108,4360,3249,8526,2646
b2036,12296,22446,16249,15453,8389,8220,6750,4856,6959,10087,35565,22347,11160,7449,22418,8390
b2037,3906,8266,4180,4841,1981,3466,2275,1437,2613,1976,11733,6652,2996,2183,5538,1953
b2038,2020,3867,2176,2325,1135,1791,1099,713,1123,1016,5362,2558,1394,1159,2799,974
b2039,4751,8017,6349,6185,3301,3535,2778,1934,2887,2455,11069,4359,4058,3106,5898,2082
b2040,4740,6397,4448,5277,2354,2733,2587,1832,2787,1701,10588,1616,3832,2737,4025,718
b2041,4908,4435,3758,4110,2211,2771,2844,1940,2866,1620,8887,2133,3176,2599,2946,957
b2042,2018,1930,2156,1961,1232,1384,1133,798,1169,854,4035,2822,1402,1166,1666,1195
b2043,43,83,117,90,54,31,36,60,29,31,88,141,90,42,62,67
b2044,23,25,55,44,25,18,12,31,19,31,51,56,45,18,28,31
b2045,10,13,21,25,16,13,5,19,6,5,24,11,22,12,19,12
b2046,11,17,31,25,19,7,5,16,8,8,31,15,16,24,12,17
b2047,7,11,16,11,4,5,4,14,4,0,12,11,6,3,6,5
b2048,1,3,28,16,5,3,3,6,7,4,11,1,10,7,4,7
b2049,8,23,31,23,14,8,9,11,6,19,14,21,16,16,18,9
b2050,3,8,11,5,6,5,6,5,0,2,2,8,5,3,7,8
b2051,1,0,1,6,0,3,0,1,0,0,7,4,4,1,4,2
b2052,4,5,1,5,6,1,0,4,0,1,7,5,6,4,8,0
b2053,5,16,39,22,18,7,6,8,3,6,5,8,17,13,8,3
b2054,3,0,1,3,3,1,2,3,2,0,1,1,0,0,3,1
b2055,0,3,4,0,1,2,5,4,0,1,4,4,2,2,1,1
b2056,6,22,6,14,4,3,5,9,2,2,16,9,4,3,20,8
b2057,2,5,11,10,7,9,2,6,1,3,5,4,3,6,4,7
b2058,2,4,3,8,5,2,2,2,4,2,12,10,3,3,3,6
b2059,0,7,14,5,3,0,2,3,1,3,1,8,7,0,4,2
b2060,6,6,37,9,16,4,2,23,9,12,3,7,14,3,10,13
b2061,1,0,3,1,0,2,0,1,0,0,2,0,0,0,0,3
b2062,5,15,9,10,4,10,4,14,0,2,31,4,5,3,4,3
b2063,580,1306,870,755,528,685,310,312,304,500,1202,917,635,382,1018,352
b2064,1347,1835,3058,2285,1465,995,881,776,814,1180,3057,3185,1834,1205,2310,1573
b2065,606,835,1157,1106,571,428,406,307,420,449,1461,957,688,536,974,479
b2066,673,727,361,496,224,399,485,158,471,221,1413,522,331,279,510,225
b2067,164,277,380,376,212,149,91,131,66,145,386,327,191,222,263,189
b2068,57,83,130,122,101,48,26,45,18,65,60,89,107,52,98,102
b2069,222,207,180,278,86,132,196,47,215,85,457,185,76,148,153,80
b2070,13,55,85,72,52,17,13,29,10,26,45,60,40,47,30,39
b2071,11,33,30,17,26,17,4,14,9,14,26,20,39,7,30,15
b2072,9,10,17,9,7,1,7,3,2,8,12,7,16,4,9,7
b2073,4,3,18,9,3,5,4,10,7,0,7,10,10,3,8,7
b4667,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
b4668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b2074,89,133,145,122,69,85,65,55,57,40,249,131,94,52,96,70
b2075,99,132,111,125,45,41,62,36,78,37,187,93,71,58,85,36
b2076,79,135,95,128,56,70,50,29,37,29,190,92,55,66,55,68
b2077,8,25,27,29,10,12,10,9,25,7,30,36,16,16,33,12
b2078,24,41,52,60,34,18,24,13,25,16,86,55,40,33,51,24
b2079,76,155,205,209,156,101,54,102,47,91,143,248,227,105,164,132
b2080,8,6,24,13,8,11,10,9,1,7,5,17,14,7,12,13
b2081,2963,2004,927,1771,577,1255,1814,335,2020,608,6172,2090,590,937,1255,723
b2082,42,42,95,110,64,49,34,31,17,28,76,65,55,57,42,65
b2083,8,11,26,12,9,12,6,7,6,6,14,15,13,11,13,10
b2085,37,110,108,80,45,58,17,30,15,53,101,94,53,68,98,31
b2086,14,36,37,27,21,21,10,29,12,12,51,49,22,20,19,20
b4498,2110,1381,1728,2457,835,875,111,354,82,120,4180,1825,733,1121,278,806
b2088,0,0,3,0,1,1,0,0,0,0,4,0,0,0,2,0
b2089,3,0,1,5,0,2,0,1,3,1,0,1,1,0,3,0
b2091,13097,16218,20108,24379,9931,8689,405,3135,285,2467,30882,22097,7817,12408,4928,7865
b2092,13736,13042,17326,20986,10628,9194,874,3534,658,4081,24462,23928,7094,12916,7012,10957
b2093,5548,5068,6678,7148,4911,3553,648,1980,549,2596,10184,10579,3059,5796,3677,4780
b2094,12788,18785,29290,30766,11666,6850,1757,5049,1532,6751,43149,41027,14657,12804,17496,10340
b2095,30664,29899,67978,65712,33589,16061,5798,12975,5068,21531,71783,78443,28375,33447,42421,30351
b2096,8643,3456,30781,24409,17305,2555,3732,7120,3521,11366,18442,24854,13421,14743,21177,11981
b2097,27,40,112,59,53,25,12,29,14,37,48,77,53,33,51,40
b2098,28,38,90,84,73,29,41,51,45,19,75,88,88,39,33,38
b2099,27,35,109,96,59,28,23,38,24,14,63,76,56,54,25,30
b2100,49,37,118,89,65,32,28,44,26,18,114,96,80,61,41,43
b2101,211,333,360,345,201,222,96,162,98,171,430,407,223,185,264,235
b2102,51,174,224,153,68,65,56,46,52,51,199,242,104,55,104,111
b2103,24,35,55,30,35,22,22,16,21,11,46,20,27,26,49,17
b2104,36,50,78,99,32,32,50,36,38,20,88,85,83,36,42,33
b2105,150,224,418,345,171,155,93,153,106,105,233,262,271,183,218,133
b2106,15,40,38,34,23,20,21,33,11,10,40,19,22,22,24,15
b2107,84,136,303,207,157,87,111,116,86,75,134,234,252,112,134,106
b2108,52,45,57,52,28,49,18,26,12,46,121,80,22,44,101,31
b2109,36,122,226,170,102,104,32,68,24,86,107,276,86,75,146,119
b2110,4,33,98,40,44,18,4,13,3,16,19,87,36,35,58,41
b2111,102,128,194,238,95,66,8,28,6,74,173,117,40,127,188,51
b2112,4,3,18,14,4,2,2,2,2,5,10,15,6,0,2,9
b2113,1695,2541,3452,2965,1922,1748,1075,973,1064,1427,3644,2504,1836,1665,2645,1335
b2114,1213,2074,1638,1616,996,1062,1023,691,1035,771,2860,1179,1323,833,1552,545
b2115,27,34,54,43,23,34,21,29,16,23,69,60,50,20,41,38
b2118,11,53,82,53,28,38,11,58,17,18,44,66,53,24,36,44
b4541,1,1,1,3,1,1,0,0,1,1,1,3,1,0,0,2
b2119,9,2,10,6,8,5,4,14,6,10,6,8,5,9,5,8
b2120,7,21,22,19,8,14,11,15,12,10,43,15,13,20,8,7
b2121,6,7,8,10,3,5,4,7,2,1,31,13,9,10,9,6
b2122,6,17,15,5,13,16,5,24,4,5,31,29,10,16,10,15
b2123,9,10,14,19,9,7,3,6,5,5,10,29,8,13,12,8
b2124,324,175,497,572,261,152,168,141,154,128,463,475,305,276,300,290
b2125,2551,516,4892,5155,2681,307,1763,1235,1624,1854,5750,7757,2557,2671,3386,3277
b2126,1341,272,3093,3130,1540,140,974,608,943,1082,2976,3424,1406,1497,2013,1696
b2127,8,34,52,41,18,8,9,14,8,12,23,43,31,13,26,15
b4542,5,0,0,3,0,3,1,1,1,0,2,1,0,1,0,1
b2128,13,11,36,13,6,18,7,5,3,8,18,20,20,8,22,24
b2129,23,19,32,21,22,14,8,29,4,16,24,31,35,18,28,22
b2130,7,18,32,36,10,15,8,10,4,6,17,35,12,10,7,11
b2131,22,34,40,21,28,11,9,8,5,8,42,46,25,12,29,9
b2132,1027,1376,1639,1604,1010,929,582,684,541,867,2421,1818,1280,810,1540,838
b2133,899,1115,1967,1862,1049,634,198,390,176,772,1847,1300,773,1085,1493,502
b2134,273,453,748,621,414,276,167,333,192,194,701,909,620,320,443,381
b2135,1,10,15,6,2,4,0,1,1,1,0,4,4,1,12,4
b2136,31,49,89,57,59,34,11,20,10,34,71,59,51,37,58,49
b2137,9,13,32,29,6,6,0,10,3,12,12,27,16,5,10,23
b2139,3,11,16,30,7,6,3,8,1,5,14,30,14,4,9,11
b4679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2140,254,173,252,276,105,129,284,76,301,62,451,309,104,152,131,135
b2141,5,528,31,24,32,292,0,9,2,9,15,54,22,20,30,15
b2142,4,916,75,41,51,474,3,20,2,25,28,91,39,21,54,36
b2143,296,848,7065,5093,4616,692,1409,1840,1252,848,584,1764,3169,3257,1260,1045
b2144,61,99,273,276,123,41,116,73,110,74,100,381,168,128,121,158
b2145,10,14,26,20,11,8,16,6,12,7,9,47,22,16,13,16
b2146,505,395,1367,1446,896,263,101,213,92,816,870,2941,341,960,1255,1236
b2147,1098,935,1999,2283,1062,498,142,374,142,981,2158,5187,735,1403,1587,1922
b2148,157,91,655,825,369,73,199,515,137,13,406,1523,1132,445,36,883
b2149,1014,136,3255,5194,1491,144,1762,2345,1371,116,3443,8138,4177,2192,366,3755
b2150,1131,172,3105,3789,1536,163,1581,1518,1441,266,3055,5948,2455,1934,586,3535
b2151,221,40,510,724,296,9,227,85,231,155,670,301,198,304,396,177
b2152,73,89,109,94,58,82,29,43,41,41,161,206,81,60,93,66
b2153,183,340,509,395,224,253,122,188,141,142,461,778,378,202,319,400
b2154,139,286,536,385,299,151,48,125,45,155,328,340,269,219,245,174
b2155,33,82,191,120,76,36,180,140,164,33,67,90,246,40,46,70
b2156,261,259,264,339,123,201,374,139,406,129,559,191,217,158,277,140
b2157,215,345,725,476,395,189,128,225,128,278,456,464,461,232,507,226
b2158,88,117,112,126,66,70,40,35,55,32,169,131,90,54,75,86
b2159,237,373,698,585,425,241,159,220,186,192,502,494,364,319,442,242
b2160,152,237,462,316,249,137,96,114,103,113,349,337,245,192,222,145
b2161,9,23,54,33,15,15,10,13,8,8,28,24,13,14,14,15
b2162,5,6,23,10,12,4,3,10,1,2,15,15,8,5,6,14
b2163,9,15,63,30,25,3,6,18,11,18,22,33,30,15,36,28
b2164,12,24,58,47,45,18,9,26,9,3,14,66,28,16,18,27
b2165,17,21,125,95,81,6,43,67,27,5,28,87,116,40,16,44
b2166,12,1,67,36,26,3,48,53,43,6,17,18,50,13,2,18
b2167,492,1048,35478,13688,21036,682,8693,14762,7055,336,677,1392,29225,7526,443,552
b2168,152,343,19182,4569,10410,289,8925,9616,7971,269,280,1474,18840,2558,319,581
b2169,121,258,15448,3234,8957,226,9510,8854,8803,284,186,1233,17167,2008,306,619
b2170,31,37,70,55,38,44,24,26,22,33,57,39,42,43,41,29
b4502,10,4,4,2,2,1,3,0,3,0,12,5,2,4,4,6
b2171,1064,1480,1462,1491,766,856,948,523,945,548,2534,1425,1003,754,1104,692
b2172,104,82,433,304,234,60,275,313,273,55,299,139,499,163,123,92
b2173,142,195,808,531,393,166,309,334,287,118,391,406,649,274,289,183
b2174,51,80,140,131,57,53,80,76,90,25,78,88,131,56,35,17
b2175,4951,2332,9779,9980,3266,1409,3894,2302,3875,2654,12575,8684,5798,4085,7406,3419
b2176,134,189,247,298,147,79,86,80,53,86,358,277,146,130,241,133
b2177,155,190,374,255,185,111,61,114,53,107,215,336,200,136,217,180
b2178,27,32,67,44,28,30,9,22,5,8,67,69,48,29,54,26
b2179,26,32,84,63,36,26,27,25,15,31,124,64,58,41,49,45
b2180,317,274,591,479,263,166,73,82,80,189,613,246,168,248,376,108
b2181,85,130,335,321,205,39,61,159,56,113,222,96,256,191,250,39
b2182,226,261,187,245,95,209,110,81,104,120,584,368,171,145,214,154
b2183,933,1162,1015,1307,497,590,493,364,478,441,2091,1708,881,497,1063,675
b2184,158,254,191,223,108,160,100,74,111,96,311,341,170,117,182,145
b2185,3496,5923,3850,4625,1653,2852,3318,1471,3413,1681,8553,5042,3078,2092,4105,2478
b2186,1671,2211,2392,2466,1255,1221,1529,860,1502,901,3865,2386,1714,1172,1766,1116
b2187,203,242,274,312,130,169,123,114,147,88,474,261,199,143,263,137
b2188,814,1199,997,1017,468,651,364,241,369,396,1676,963,599,507,775,411
b2190,891,1502,1898,1535,1113,883,387,663,347,836,1866,1959,1330,705,1285,999
b2192,1299,1466,2501,2379,1437,908,1355,1120,1266,900,2794,5190,2088,1215,1609,2241
b2193,291,355,582,466,325,220,214,184,258,142,583,509,359,270,306,274
b2194,692,412,179,384,114,276,72,40,67,420,1132,185,68,237,739,104
b2195,208,166,73,166,32,59,33,18,23,107,519,49,29,115,217,25
b2196,528,356,132,401,110,217,63,41,63,254,894,133,81,233,312,85
b2197,232,558,141,325,39,130,27,22,27,86,690,200,57,128,185,60
b2198,81,34,8,17,8,53,10,6,1,21,49,9,8,38,16,16
b2199,1016,1270,309,694,210,674,75,64,76,436,1470,540,129,413,494,248
b2200,181,210,69,140,42,86,3,11,4,63,306,116,11,91,98,46
b2201,1479,560,481,844,453,799,60,82,50,638,1485,249,126,731,504,283
b2202,3357,4569,2481,4735,907,1823,91,167,90,1261,12556,1635,542,1641,3960,436
b2203,1666,1369,882,1774,435,749,31,45,33,664,4565,424,95,779,1457,133
b2204,2364,1511,1724,3391,967,1114,79,77,82,1199,5138,962,171,1523,2243,299
b2205,1189,960,902,1675,653,575,61,41,42,891,2428,747,122,976,1523,230
b2206,3754,8079,12217,10845,5009,4629,707,485,510,6233,8430,16740,1517,5319,13162,5315
b2207,327,1184,2051,1229,1468,1034,173,213,149,1543,245,3324,479,1010,2458,1864
b2208,93,1843,2565,2082,1060,766,84,251,88,1155,335,3376,765,824,4027,1420
b4604,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,2
b2209,1296,1930,2956,2275,1881,1110,552,734,610,1264,2588,2458,1668,1264,1971,1247
b2210,317,259,2617,1363,1365,99,293,1322,294,79,1208,341,2749,650,171,255
b2211,150,271,256,173,135,131,392,224,436,25,294,260,424,88,61,132
b2212,20,29,28,24,12,19,9,7,8,11,25,32,18,8,27,12
b2213,136,218,181,264,127,121,89,70,125,94,314,184,91,138,177,115
b2214,178,227,153,207,106,142,142,84,165,64,325,308,127,79,132,127
b2215,18388,25003,57750,49439,30809,15883,20699,19475,22205,13549,37774,35510,33355,30671,28388,16778
b2216,2159,3529,4615,3808,2406,1855,1277,1734,1297,1687,4873,3328,3412,2055,3238,1518
b2217,1160,2109,3493,2504,1694,1011,673,1031,696,916,3197,2792,2082,1330,2314,990
b2218,1155,1963,3044,2359,1798,1112,621,1216,570,1077,2306,2198,2486,1419,1916,925
b2219,30,46,308,274,188,32,35,104,48,143,49,355,77,185,224,244
b2220,218,174,640,440,342,102,130,233,68,275,478,2744,269,260,435,1080
b2221,0,1,1,15,1,3,1,13,1,1,4,7,3,4,4,3
b2222,0,0,1,0,0,0,0,4,0,0,9,0,1,0,0,2
b2223,3,3,6,2,2,1,1,6,3,1,12,1,2,1,1,5
b2224,8,18,26,39,18,21,3,18,12,8,24,43,18,17,18,43
b2225,2,1,29,6,3,1,1,5,2,5,5,3,11,5,2,8
b2226,12,19,49,44,24,16,15,23,9,15,29,60,37,29,17,26
b4500,46,92,127,125,52,47,28,57,26,32,122,108,74,38,65,54
b2229,7,5,5,12,1,1,1,5,2,3,14,14,3,3,6,6
b2230,39,61,57,65,35,26,14,30,18,27,99,42,37,25,59,29
b2231,10725,13690,14746,14296,8368,7100,6719,4767,6610,6031,25111,8580,9888,7269,12410,3940
b2232,984,1234,1166,1166,695,762,559,512,525,684,2090,953,944,574,1225,505
b2233,199,588,802,624,429,303,159,312,143,303,517,1017,608,230,468,515
b4605,4,0,11,4,0,1,1,0,0,2,0,1,4,0,0,1
b2234,4619,5598,5636,3996,3274,3000,3212,2246,3162,1627,10370,4866,4731,2226,2926,1724
b2235,1985,3073,3376,2834,2258,1916,1448,925,1646,987,3708,1677,1667,1686,1944,1022
b2236,144,325,187,209,105,132,98,55,105,74,370,142,100,93,200,70
b2237,618,726,2128,1478,1045,493,405,777,361,398,1259,1155,1701,713,639,548
b2238,0,3,5,1,1,2,0,5,1,1,1,10,1,4,5,2
b2239,19289,8100,2925,13007,1474,4354,489,776,433,4822,41846,24311,1592,6219,9028,10211
b2240,14883,4511,4045,13240,1905,2669,488,482,363,8358,29179,16527,781,6598,14487,9367
b2241,1688,1444,1921,4106,773,1127,23,27,13,5124,3463,8263,57,2022,9339,4191
b2242,2788,1395,545,2495,222,1311,19,32,13,3217,5944,9728,43,1226,5561,3348
b2243,1709,542,85,881,53,491,9,26,5,848,3247,2405,19,541,1304,769
b2244,393,242,273,233,133,99,52,95,48,77,819,235,258,80,152,84
b4543,56,16,37,40,41,32,28,41,21,27,69,10,27,35,18,41
b2245,34,24,53,45,22,14,11,23,19,11,30,23,22,18,19,27
b2246,22,26,36,48,19,16,7,22,14,9,55,32,31,24,16,14
b2247,28,48,59,80,32,37,10,29,8,17,42,126,25,37,33,44
b2248,2,7,14,23,14,5,1,3,2,1,13,24,15,4,6,4
b2249,272,398,962,699,597,239,126,230,130,267,459,432,554,363,499,228
b2250,240,345,343,345,222,173,515,189,523,152,436,475,406,175,272,284
b2251,84,125,256,206,161,65,54,86,52,110,182,147,166,111,129,75
b2252,7,12,5,11,3,5,1,4,4,2,0,19,3,1,7,3
b2253,9,52,43,28,17,8,6,24,7,10,48,46,31,8,12,30
b2254,11,17,28,18,11,16,15,20,13,12,43,35,26,18,13,24
b2255,67,87,129,101,68,56,25,45,23,56,148,154,73,72,119,74
b2256,24,36,39,37,25,25,9,26,10,15,68,55,37,19,41,26
b2257,29,43,54,39,22,16,13,37,9,23,55,18,23,28,38,34
b4544,4,6,11,9,1,6,10,16,1,3,15,17,9,1,16,9
b2258,3,6,7,16,7,5,2,3,1,4,1,5,3,7,3,9
b2259,290,289,1174,1174,637,164,223,225,221,539,570,322,395,607,1078,229
b2260,2022,1828,1139,1683,690,927,809,417,707,1054,3976,1135,955,845,2009,701
b2261,1404,1429,1170,1463,673,740,494,343,429,882,2850,991,642,722,1677,527
b2262,1071,1291,1112,1238,639,596,459,274,418,741,2427,1095,607,636,1579,408
b2263,349,612,335,441,176,240,164,66,145,257,820,381,172,238,539,144
b2264,745,1263,1095,1118,570,723,349,182,348,697,1593,938,421,591,1143,461
b2265,624,1002,1033,1020,493,650,346,275,392,405,1226,1485,553,516,903,517
b2266,45,99,197,212,111,74,41,49,25,67,104,173,118,80,153,70
b2267,240,419,718,567,379,192,102,213,101,257,557,575,440,295,447,228
b2268,448,758,701,674,408,388,260,265,283,360,1063,855,502,338,666,278
b2269,74,68,35,58,35,53,37,62,28,27,124,71,32,28,47,43
b2270,49,122,137,121,70,42,37,142,18,35,138,157,66,64,66,87
b2271,5,14,12,8,4,7,4,26,3,14,20,14,3,6,3,14
b2272,35,82,87,77,32,31,13,13,12,59,101,89,25,52,76,63
b2273,37,93,76,112,36,51,11,37,14,24,112,122,32,40,39,79
b2274,17,52,47,45,23,16,11,16,10,14,39,58,23,17,34,22
b2275,15,53,28,63,21,17,13,23,13,23,65,59,27,17,33,32
b2276,874,2430,1430,2198,816,1318,361,277,365,1083,1822,2846,461,1216,2275,1271
b2277,1538,4571,3104,4092,1642,2382,550,522,605,1678,3582,4900,1062,2047,3899,2268
b2278,3787,9991,7340,9393,4450,5725,1503,1365,1465,3464,7182,11015,2607,5142,6219,5498
b2279,159,1095,741,596,202,272,55,70,54,120,887,1177,264,252,593,289
b2280,1822,5296,5157,5506,2653,2781,752,817,776,1347,4217,6985,1908,2374,2584,2849
b2281,1545,3801,4895,4896,2086,2188,632,694,550,942,3430,4487,1804,2123,1769,2135
b2282,2402,7206,5089,5294,3535,3135,890,1154,885,1433,6935,8584,2018,3046,3383,3070
b2283,7874,13052,20113,19017,11439,7706,3260,4537,2879,4437,18077,20541,10362,9534,9227,9459
b2284,7110,7749,16964,14146,10570,4662,3154,4639,2810,4351,15649,17932,9912,7580,8114,8810
b2285,2888,3507,8636,6617,4839,1774,1559,2302,1381,2177,7479,8931,5154,3335,3993,3820
b2286,7109,8257,19230,16904,10868,4533,4823,6381,4103,5260,16450,15688,13137,8560,9562,7649
b2287,2552,3316,6781,5924,3744,1818,2118,2424,1974,1880,6173,5171,4843,3066,3800,2484
b2288,2639,3330,6873,7056,3345,2168,2265,2442,2300,1826,7155,4936,5101,3193,3811,2058
b2289,539,504,1138,918,631,406,283,344,290,530,868,1443,568,571,939,770
b2290,612,1099,1252,1079,606,507,335,535,313,561,1421,863,1071,534,1096,416
b2291,116,234,370,268,205,147,66,137,66,140,257,236,229,159,253,156
b2292,107,367,934,668,494,262,62,139,49,512,191,788,244,369,722,453
b2293,872,1450,3521,2248,2119,748,354,794,399,1310,1823,2726,1859,1302,2121,1160
b2294,533,1187,2939,1982,1545,584,297,724,271,995,1421,1877,1538,1039,1887,819
b2295,114,155,137,112,99,135,76,84,87,77,186,183,87,74,90,142
b2296,5576,6312,11975,10909,6131,4077,5449,3100,5942,4534,11917,5641,5441,6178,8696,2390
b2297,4838,5152,6996,8091,3523,2683,3835,1966,3846,3210,11612,4557,3986,4142,6610,2058
b2298,154,419,293,363,156,343,45,34,46,313,273,390,57,176,548,195
b2299,741,1188,1401,1222,551,616,801,456,884,362,1887,1737,1001,518,1148,685
b2300,717,1563,1707,1418,752,771,770,536,915,533,1836,2116,1285,655,1207,736
b2301,43,72,150,109,57,46,19,48,13,53,80,117,119,58,98,60
b2302,2,14,22,16,6,10,3,5,1,3,3,32,8,3,11,9
b2303,559,2184,3535,2196,1659,1090,1486,1657,1601,732,1702,3020,3331,992,1827,1318
b2304,170,609,1036,749,520,251,237,353,265,294,515,1034,772,309,676,414
b2305,54,91,240,129,98,69,32,100,29,42,91,154,174,90,69,89
b2306,61,247,473,264,245,99,93,226,79,65,164,240,430,119,169,113
b2307,16,59,78,53,48,28,29,51,18,16,51,83,52,40,57,40
b2308,56,112,129,127,75,54,22,110,33,45,104,110,174,62,82,53
b2309,412,791,974,890,643,412,280,487,246,308,899,869,903,484,657,390
b2310,138,53,530,409,335,25,184,509,143,58,315,109,838,228,78,73
b2311,77,36,75,73,43,39,42,56,45,24,175,95,63,49,64,58
b2312,1515,265,239,278,121,180,187,75,193,120,3936,319,145,141,341,133
b2313,1033,260,159,221,66,69,127,67,120,63,4480,283,108,87,296,63
b2314,506,798,1000,961,576,430,477,341,403,348,1180,920,620,525,714,519
b2315,1745,1874,2160,2037,1376,1036,1061,816,1021,911,3422,1694,1578,1300,1566,906
b2316,2689,2947,3447,3676,1858,1713,1745,1252,1684,1250,5593,3469,2332,1921,2644,1583
b2317,350,459,459,483,291,224,217,171,200,203,821,412,289,275,419,160
b2318,771,1020,1040,1208,546,505,389,327,496,400,1631,689,678,543,898,310
b2319,920,1414,1204,1236,587,714,589,377,626,461,2141,1078,838,574,1079,391
b2320,566,750,1017,839,576,510,405,365,384,359,1256,853,657,454,720,403
b2321,469,529,587,516,321,290,226,233,175,166,881,478,483,276,341,182
b2322,58,60,51,92,31,60,60,32,65,23,101,86,41,36,43,34
b2323,7536,7694,11022,13047,6257,4988,5290,3917,5284,4247,13920,10592,7131,6533,8595,5009
b2324,452,823,525,685,399,495,381,227,359,362,955,725,546,376,593,397
b2325,203,360,474,464,158,145,111,100,95,104,610,192,269,164,328,63
b2326,1283,1531,1743,1676,897,720,515,428,531,698,2936,1034,1044,825,1438,425
